network,block,test_accuracy
baseB,0,0.9089
baseB+,0,0.9212
BnB,1,0.9138
BnB,2,0.9231
BnB,3,0.9207
BnB,4,0.9199
BnB,5,0.9158
BnB,6,0.9211
BnB,7,0.9248
BnB,8,0.926
BnB,9,0.9062
BnB,10,0.9106
BnB,11,0.9138
BnB,12,0.9133
BnB,13,0.915
AnB,1,0.7126
AnB,2,0.6987
AnB,3,0.7704
AnB,4,0.683
AnB,5,0.7212
AnB,6,0.7816
AnB,7,0.708
AnB,8,0.7398
AnB,9,0.765
AnB,10,0.7709
AnB,11,0.6189
AnB,12,0.7241
AnB,13,0.4676
AnB+,1,0.9087
AnB+,2,0.9216
AnB+,3,0.9216
AnB+,4,0.9219
AnB+,5,0.9023
AnB+,6,0.927
AnB+,7,0.926
AnB+,8,0.9253
AnB+,9,0.9243
AnB+,10,0.9312
AnB+,11,0.9312
AnB+,12,0.9194
AnB+,13,0.9309